Tree,Asset 1,Asset 2,Family,Kendall's Tau,DF
1,NTC,REM,student,0.271,7.194211105224657
1,REM,NTC,student,0.2485,6.411739154908226
1,MTM,SLM,student,0.0672,13.796534611788797
1,DSY,SLM,student,0.1772,8.637995298501366
1,FSR,SLM,student,0.2788,5.046253350081317
1,NED,INL,student,0.0385,16.88334850776387
1,GND,INL,student,0.0532,9.095029946055478
1,NED,PPC,student,0.1329,6.89256823994341
1,INL,NED,student,0.1588,6.9870445310603415
1,PPC,NED,student,0.0541,13.696924496257136
1,REM,NTC,student,0.1521,7.9946112459258964
1,REM,FSR,student,0.2717,6.408810400577902
1,SLM,MTM,student,0.1888,7.433472603685911
1,SLM,DSY,student,0.3553,5.383960839854393
1,INL,NED,student,0.1487,7.362947254282367
1,ANG,AGL,student,0.5776,4.866054543217726
1,AGL,INP,student,0.1606,4.603635461143348
1,INP,AGL,student,0.1398,5.121930897763473
1,INP,INL,student,0.2716,5.4801185090901265
1,INL,NPN,student,0.7867,4.9999374803260626
1,NED,INL,student,0.1602,6.398465524373405
1,FSR,SLM,student,0.3984,4.314427939263915
1,INL,NED,student,0.2128,8.52211501231903
1,VOD,MTN,student,0.2811,4.930590510205883
1,MTN,FSR,student,0.3049,5.414476155653718
1,FSR,SLM,student,0.1074,10.803911137912756
1,FSR,SLM,student,0.3043,4.881509679519475
1,SLM,FSR,student,0.3786,3.5469001795267388
1,FSR,REM,student,0.3745,5.644362668448338
1,FSR,SLM,student,0.4196,4.814500891222772
1,FSR,SBK,student,0.4283,4.5917869805855895
1,NED,SBK,student,0.3502,5.286705840918345
1,SBK,NED,student,0.5361,4.713869932754903
1,SBK,ABG,student,0.5361,4.919435858925952
1,TFG,SBK,student,0.0496,11.811838948332527
1,WBO,ABG,student,0.0932,19.218437015535788
1,TFG,MRP,student,0.0667,19.87053091918176
1,ABG,SBK,student,0.1511,8.804597807065408
1,SBK,TFG,student,0.2038,7.691288920051629
1,SBK,TFG,student,0.5267,4.239436653212894
1,MRP,TFG,student,0.292,6.84008147276242
1,TFG,MRP,student,0.3376,6.539405267249695
1,TFG,TRU,student,0.4326,5.375023610832003
1,EMN,EMH,student,0.0424,13.898327403106686
1,SHP,PIK,gaussian,0.0344,
1,EMH,ACT,student,0.1047,4.111601400304066
1,PIK,SHP,student,0.0747,10.664326264361902
1,ACT,TRU,gaussian,0.0467,
1,SHP,SPP,student,0.2957,10.335434306767755
1,TRU,WHL,gaussian,0.0414,
1,SHP,WHL,student,0.3173,7.7189904300648715
1,TRU,WHL,student,0.4806,8.16785563226424
1,WHL,TRU,student,0.3137,5.988512519707868
1,WHL,TRU,student,0.3922,5.78376624440124
2,REM,APN,student,0.1196,15.007611602546126
2,NTC,FSR,student,0.1254,12.329223550995463
2,SLM,DSY,student,0.0184,14.179932658020057
2,SLM,MTM,student,0.1029,10.605187845121312
2,SLM,SBK,student,0.1145,9.157951784871626
2,INL,GND,gaussian,0.0135,
2,INL,NED,student,0.0127,16.063518405172857
2,PPC,INL,gaussian,0.0695,
2,NED,PPC,student,0.0764,8.62158111899896
2,NED,INL,student,0.0287,18.24395478791214
2,NTC,FSR,student,0.0678,10.171163690019268
2,FSR,BVT,student,0.119,8.772293342524545
2,MTM,DSY,student,0.0847,11.203615409292954
2,DSY,FSR,student,0.1782,9.40604812940911
2,NED,PPC,student,0.0643,12.137222714832774
2,AGL,INP,student,0.0497,7.811924780196062
2,INP,INL,student,-0.0655,7.137001459572493
2,AGL,INL,student,0.0264,13.110521600693204
2,INL,NPN,student,0.029,14.974309050650708
2,NPN,NED,student,0.0206,19.614654893325834
2,INL,NPN,student,0.0848,12.215631964455406
2,SLM,DSY,student,0.1857,6.1647871896569955
2,NED,SBK,student,0.0969,9.09413001195258
2,MTN,FSR,student,0.1235,15.931099071415668
2,FSR,SLM,student,0.161,8.207347555052793
2,SLM,MTN,student,0.0328,19.82050299762572
2,SLM,REM,student,0.145,7.262782406342844
2,FSR,REM,student,0.1577,7.096418500059393
2,REM,SLM,student,0.1987,8.78233170163665
2,SLM,SBK,student,0.2082,8.151076691590058
2,SBK,NED,student,0.1856,7.016173186352656
2,SBK,FSR,student,0.1488,9.72350341407025
2,NED,ABG,student,0.2354,6.28421953888437
2,ABG,TFG,student,0.2307,5.970548758509284
2,SBK,RLO,student,0.0222,14.851279872585664
2,ABG,SBK,student,0.0646,10.002541041950769
2,MRP,TRU,gaussian,0.0278,
2,SBK,TFG,gaussian,0.0376,
2,TFG,ABG,student,0.1067,14.248360919998875
2,TFG,MRP,student,0.1391,9.19303079804875
2,TFG,SBK,student,0.1489,9.503605032819928
2,MRP,TRU,student,0.1562,11.713944994757371
2,TRU,WHL,student,0.2049,9.584750179247347
2,EMH,ACT,student,0.0202,13.613572124387817
2,PIK,AFT,gaussian,-0.0089,
2,ACT,TRU,gaussian,0.0006,
2,SHP,SPP,gaussian,0.017,
2,TRU,WHL,gaussian,0.0073,
2,SPP,WHL,student,0.1861,9.645054824729426
2,WHL,TFG,gaussian,0.0106,
2,WHL,TRU,student,0.152,12.23775221428677
2,WHL,SHP,student,0.1867,9.491995536796713
2,TRU,SHP,student,0.1463,7.474244152115114
3,APN,FSR,gaussian,0.0732,
3,FSR,BVT,student,0.0755,10.617709752706391
